iata,ident,name,city,state,type,latitude,longitude,elevation_ft,scheduled_service,runway_count,longest_runway_ft,source
HYG,PAHY,Hydaburg Seaplane Base,Hydaburg,AK,seaplane_base,55.205227,-132.830286,,yes,1,5000,OurAirports airports and runways cache
HYL,HYL,Hollis Clark Bay Seaplane Base,Hollis,AK,seaplane_base,55.481529,-132.646008,,yes,2,10000,OurAirports airports and runways cache
HYS,KHYS,Hays Regional Airport,Hays,KS,medium_airport,38.844521,-99.273148,1999.0,yes,2,6501,OurAirports airports and runways cache
IAD,KIAD,Washington Dulles International Airport,Dulles,VA,large_airport,38.9445,-77.455803,312.0,yes,4,11500,OurAirports airports and runways cache
IAG,KIAG,Niagara Falls International Airport,Niagara Falls,NY,medium_airport,43.1073,-78.946198,589.0,yes,3,9826,OurAirports airports and runways cache
IAH,KIAH,George Bush Intercontinental Airport,Houston,TX,large_airport,29.9844,-95.3414,97.0,yes,5,12001,OurAirports airports and runways cache
IAN,PAIK,Bob Baker Memorial Airport,Kiana,AK,medium_airport,66.976128,-160.439014,166.0,yes,1,4000,OurAirports airports and runways cache
ICT,KICT,Wichita Dwight D. Eisenhower National Airport,Wichita,KS,medium_airport,37.650314,-97.428583,1333.0,yes,3,10302,OurAirports airports and runways cache
IDA,KIDA,Idaho Falls Regional Airport,Idaho Falls,ID,medium_airport,43.514599,-112.070999,4744.0,yes,2,9002,OurAirports airports and runways cache
IGG,PAIG,Igiugig Airport,Igiugig,AK,small_airport,59.324001,-155.901993,90.0,yes,1,3000,OurAirports airports and runways cache
IKO,PAKO,Nikolski Air Station,Nikolski,AK,small_airport,52.941552,-168.849478,77.0,yes,1,3512,OurAirports airports and runways cache
ILG,KILG,Wilmington Airport,Wilmington,DE,medium_airport,39.678699,-75.606499,80.0,yes,3,7275,OurAirports airports and runways cache
ILI,PAIL,Iliamna Airport,Iliamna,AK,medium_airport,59.754398,-154.910996,192.0,yes,4,5086,OurAirports airports and runways cache
ILM,KILM,Wilmington International Airport,Wilmington,NC,medium_airport,34.272345,-77.905117,32.0,yes,2,8016,OurAirports airports and runways cache
IMT,KIMT,Ford Airport,Kingsford,MI,medium_airport,45.81911,-88.114557,1182.0,yes,2,6502,OurAirports airports and runways cache
IND,KIND,Indianapolis International Airport,Indianapolis,IN,large_airport,39.7173,-86.294403,797.0,yes,3,11200,OurAirports airports and runways cache
INL,KINL,Falls International Airport,International Falls,MN,medium_airport,48.566200256347656,-93.4030990600586,1185.0,yes,2,7400,OurAirports airports and runways cache
IPL,KIPL,Imperial County Airport,Imperial,CA,medium_airport,32.83539,-115.574026,-54.0,yes,2,5308,OurAirports airports and runways cache
IPT,KIPT,Williamsport Regional Airport,Williamsport,PA,medium_airport,41.242126,-76.92245,529.0,yes,2,6825,OurAirports airports and runways cache
IRC,PACR,Circle City (New) Airport,Circle,AK,small_airport,65.827673,-144.076195,613.0,yes,1,2979,OurAirports airports and runways cache
IRK,KIRK,Kirksville Regional Airport,Kirksville,MO,medium_airport,40.09349822998047,-92.5448989868164,966.0,yes,2,6005,OurAirports airports and runways cache
ISP,KISP,Long Island MacArthur Airport,Islip,NY,medium_airport,40.796324,-73.101703,99.0,yes,4,7006,OurAirports airports and runways cache
ITH,KITH,Ithaca Tompkins Regional Airport,Ithaca,NY,medium_airport,42.49100112915039,-76.4583969116211,1099.0,yes,2,6977,OurAirports airports and runways cache
ITO,PHTO,Hilo International Airport,Hilo,HI,medium_airport,19.72135,-155.045428,38.0,yes,2,9800,OurAirports airports and runways cache
IWD,KIWD,Gogebic Iron County Airport,Ironwood,MI,small_airport,46.525298,-90.131578,1230.0,yes,1,6502,OurAirports airports and runways cache
JAC,KJAC,Jackson Hole Airport,Jackson,WY,medium_airport,43.6073,-110.737999,6451.0,yes,1,6300,OurAirports airports and runways cache
JAN,KJAN,Jackson-Medgar Wiley Evers International Airport,Jackson,MS,medium_airport,32.311199,-90.075897,346.0,yes,2,8500,OurAirports airports and runways cache
JAX,KJAX,Jacksonville International Airport,Jacksonville,FL,large_airport,30.492469,-81.687813,30.0,yes,2,10000,OurAirports airports and runways cache
JBR,KJBR,Jonesboro Municipal Airport,Jonesboro,AR,medium_airport,35.83169937133789,-90.64640045166016,262.0,yes,2,6200,OurAirports airports and runways cache
