iata,ident,runway_count,longest_runway_ft,source
MSN,KMSN,3,9006,OurAirports airports and runways cache
MSO,KMSO,2,9501,OurAirports airports and runways cache
MSP,KMSP,4,11006,OurAirports airports and runways cache
MSS,KMSS,2,5601,OurAirports airports and runways cache
MSY,KMSY,3,10104,OurAirports airports and runways cache
MTJ,KMTJ,2,10000,OurAirports airports and runways cache
MTM,PAMM,2,5000,OurAirports airports and runways cache
MTP,KMTP,1,3246,OurAirports airports and runways cache
MUE,PHMU,1,5197,OurAirports airports and runways cache
MVY,KMVY,3,5504,OurAirports airports and runways cache
MWA,KMWA,2,8012,OurAirports airports and runways cache
MWL,KMWL,2,5996,OurAirports airports and runways cache
MYK,MYK,1,2700,OurAirports airports and runways cache
MYL,KMYL,1,6101,OurAirports airports and runways cache
MYR,KMYR,1,9503,OurAirports airports and runways cache
MYU,PAMY,1,3070,OurAirports airports and runways cache
NCN,PFCB,1,3000,OurAirports airports and runways cache
NIB,PAFS,1,4003,OurAirports airports and runways cache
NKI,AK62,2,10000,OurAirports airports and runways cache
NLG,PAOU,1,4003,OurAirports airports and runways cache
NME,PAGT,1,3200,OurAirports airports and runways cache
NPT,KUUU,2,2999,OurAirports airports and runways cache
NUI,PAQT,1,4343,OurAirports airports and runways cache
NUL,PANU,1,4011,OurAirports airports and runways cache
NUP,16A,2,3000,OurAirports airports and runways cache
NYS,6N7,1,10000,OurAirports airports and runways cache
OAJ,KOAJ,1,7100,OurAirports airports and runways cache
OAK,KOAK,4,10520,OurAirports airports and runways cache
OBU,PAOB,1,4020,OurAirports airports and runways cache
OCE,KOXB,2,4074,OurAirports airports and runways cache
OGD,KOGD,3,8107,OurAirports airports and runways cache
OGG,PHOG,2,6998,OurAirports airports and runways cache
OGS,KOGS,1,6400,OurAirports airports and runways cache
OKC,KOKC,4,9802,OurAirports airports and runways cache
OLF,KOLF,1,5091,OurAirports airports and runways cache
OLH,OLH,1,2750,OurAirports airports and runways cache
OLM,KOLM,2,5500,OurAirports airports and runways cache
OMA,KOMA,3,9502,OurAirports airports and runways cache
OME,PAOM,2,6176,OurAirports airports and runways cache
ONT,KONT,2,12197,OurAirports airports and runways cache
OOK,PAOO,1,3200,OurAirports airports and runways cache
OPF,KOPF,3,8002,OurAirports airports and runways cache
ORD,KORD,11,13000,OurAirports airports and runways cache
ORF,KORF,2,9001,OurAirports airports and runways cache
ORH,KORH,2,7001,OurAirports airports and runways cache
ORI,ORI,1,2200,OurAirports airports and runways cache
ORT,PAOR,1,5100,OurAirports airports and runways cache
ORV,PFNO,1,4000,OurAirports airports and runways cache
OTH,KOTH,2,5980,OurAirports airports and runways cache
OTS,K74S,1,3018,OurAirports airports and runways cache
OTZ,PAOT,2,6300,OurAirports airports and runways cache
OWB,KOWB,2,8000,OurAirports airports and runways cache
PAE,KPAE,3,9010,OurAirports airports and runways cache
PAH,KPAH,2,6499,OurAirports airports and runways cache
PBG,KPBG,1,11759,OurAirports airports and runways cache
PDB,4K0,1,3002,OurAirports airports and runways cache
PDK,KPDK,5,6001,OurAirports airports and runways cache
PDT,KPDT,3,6301,OurAirports airports and runways cache
PDX,KPDX,3,11000,OurAirports airports and runways cache
PEC,PEC,1,10000,OurAirports airports and runways cache
PGA,KPGA,2,5950,OurAirports airports and runways cache
PGD,KPGD,3,7193,OurAirports airports and runways cache
PGM,PGM,1,1975,OurAirports airports and runways cache
PGV,KPGV,3,7175,OurAirports airports and runways cache
PHF,KPHF,2,8003,OurAirports airports and runways cache
PHL,KPHL,4,12000,OurAirports airports and runways cache
PHO,PAPO,1,4000,OurAirports airports and runways cache
PHX,KPHX,3,11489,OurAirports airports and runways cache
PIA,KPIA,2,10104,OurAirports airports and runways cache
PIB,KPIB,1,6503,OurAirports airports and runways cache
PIE,KPIE,5,9730,OurAirports airports and runways cache
PIH,KPIH,2,9059,OurAirports airports and runways cache
PIP,PAPN,1,3280,OurAirports airports and runways cache
PIR,KPIR,2,6900,OurAirports airports and runways cache
PIT,KPIT,4,11500,OurAirports airports and runways cache
PIZ,PPIZ,1,3519,OurAirports airports and runways cache
PKA,PAPK,2,15000,OurAirports airports and runways cache
PKB,KPKB,2,7240,OurAirports airports and runways cache
PLN,KPLN,2,6513,OurAirports airports and runways cache
PNS,KPNS,2,7004,OurAirports airports and runways cache
PPV,19P,1,4000,OurAirports airports and runways cache
PQI,KPQI,2,7441,OurAirports airports and runways cache
PQS,US-8450,0,0,OurAirports airports and runways cache
PRC,KPRC,3,7619,OurAirports airports and runways cache
PSC,KPSC,3,7707,OurAirports airports and runways cache
PSG,PAPG,1,6400,OurAirports airports and runways cache
PSM,KPSM,1,11321,OurAirports airports and runways cache
PSP,KPSP,2,10000,OurAirports airports and runways cache
PTA,PALJ,1,3000,OurAirports airports and runways cache
PTD,PAAP,1,3000,OurAirports airports and runways cache
PTH,PAPH,2,5000,OurAirports airports and runways cache
PTU,PAPM,2,5000,OurAirports airports and runways cache
PUB,KPUB,4,10498,OurAirports airports and runways cache
PUW,KPUW,1,7100,OurAirports airports and runways cache
PVD,KPVD,2,8700,OurAirports airports and runways cache
